Student ID,4(a),4(b),4(c)
1155157980,7,7,3
1155173220,7,7,6
1155174014,5,3,0
1155175426,7,7,6
1155176987,4,1,1
1155177224,7,6,3
1155190626,7,7,6
1155192652,7,7,6
1155192894,7,4,0
1155194426,7,7,2
1155194495,4,3,0
1155210937,7,7,6
1155211162,7,7,6
1155211874,7,7,2
1155211900,7,7,6
1155211918,7,7,4
1155211919,7,7,6
1155212041,7,6,1
1155212152,7,7,6
1155212165,7,7,6
1155212438,7,7,6
1155212521,7,7,2
1155212524,7,7,6
1155212618,7,0,4
1155212794,7,5,4
1155212883,7,5,4
1155213107,0,0,4
1155213185,7,7,2
1155213277,2,0,0
1155213381,6,0,0
1155213544,7,7,6
1155213588,7,7,6
1155213619,7,7,2
1155213650,7,1,1
1155213676,7,7,6
1155213749,7,7,3
1155213872,7,7,6
1155213913,7,6,4
1155214093,7,4,3
1155214172,7,7,4
1155214207,7,7,6
1155214405,7,7,6
1155214452,7,7,6
1155214621,7,7,5
1155233699,7,7,4
1155234167,7,3,0
1155234979,7,6,1